strategy,final_cumulative_return,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover,total_turnover,total_transaction_cost
Reversal-only Buffer 60%,1.1006178614978193,0.10061786149781926,0.008775960145143591,0.15433048534908733,0.05686472199768462,-0.3515611484536654,1.8042399301195464,994.1362014958701,0.9941362014958701
Strict Regime-aware Buffer 60%,1.0734711263097318,0.07347112630973185,0.006482459723246681,0.13979778986788421,0.046370258996032226,-0.2650403905624703,1.9031464594054823,753.645997924571,0.7536459979245711
Combined Reversal + Trend Buffer 60%,0.692532171177683,-0.30746782882231705,-0.03293020598579666,0.13454135036955311,-0.24475899710643015,-0.5073026419011735,0.9743689407232469,526.1592279905533,0.5261592279905534
Trend-filtered Reversal Buffer 60%,0.4337447206279934,-0.5662552793720066,-0.07330290699337061,0.17752242498119264,-0.4129219562043307,-0.6502673959606149,2.3371224263431603,1262.0461102253066,1.2620461102253067
Sector-neutral Reversal Buffer 60%,0.7284946099099631,-0.27150539009003694,-0.028457862712082616,0.12127785088804524,-0.2346501236928482,-0.41064327966341574,1.9092769299665848,1052.0115884115883,1.0520115884115881
Beta-neutral Reversal Buffer 60%,0.8544602698060586,-0.1455397301939414,-0.01423260537876192,0.1352525965061797,-0.1052298125612075,-0.4261270884299453,1.9061896095512725,1050.310474862751,1.0503104748627512
