strategy,period,start_date,end_date,final_cumulative_return,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover,total_turnover,total_transaction_cost
Reversal-only Buffer 60%,In-sample 2015-2019,2015-01-01,2019-12-31,1.2530073608413603,0.25300736084136033,0.04621723529734867,0.10894742261684857,0.4242159583700077,-0.24154346310177455,1.8194234288891862,456.67528065118574,0.4566752806511858
Reversal-only Buffer 60%,Validation 2020-2022,2020-01-01,2022-12-31,1.0523936769594295,0.052393676959429536,0.017168127642065434,0.19826735881719781,0.08659079207230687,-0.319244592889659,1.7892277970399002,270.17339735302494,0.27017339735302504
Reversal-only Buffer 60%,Out-of-sample 2023-2025,2023-01-01,2025-12-31,0.8346505889621006,-0.16534941103789935,-0.0588459841886636,0.16818561567962348,-0.34988714076927496,-0.24647911015866142,1.7938759965883175,267.28752349165933,0.2672875234916594
Sector-neutral Reversal Buffer 60%,In-sample 2015-2019,2015-01-01,2019-12-31,0.9504341265488682,-0.04956587345113184,-0.010131773140993006,0.09428895145682484,-0.10745451067649608,-0.165965681158876,1.9301160842993512,484.45913715913713,0.48445913715913713
Sector-neutral Reversal Buffer 60%,Validation 2020-2022,2020-01-01,2022-12-31,1.0761524706085397,0.07615247060853969,0.02476575114443791,0.15826742415738035,0.15648040824756818,-0.32803955189623835,1.912035395313541,288.7173446923447,0.28871734469234467
Sector-neutral Reversal Buffer 60%,Out-of-sample 2023-2025,2023-01-01,2025-12-31,0.712246811823787,-0.287753188176213,-0.10762008635981368,0.11851130033655001,-0.9080997850347831,-0.29737880242395054,1.8713765540946745,278.8351065601065,0.27883510656010657
Beta-neutral Reversal Buffer 60%,In-sample 2015-2019,2015-01-01,2019-12-31,1.1007418666388316,0.10074186663883156,0.01941343179539845,0.09863394088611295,0.19682303698900205,-0.21993534457194608,1.8858827815537396,473.3565781699886,0.47335657816998855
Beta-neutral Reversal Buffer 60%,Validation 2020-2022,2020-01-01,2022-12-31,0.8969570550034353,-0.10304294499656474,-0.0355999666621164,0.1775020078548308,-0.20056092374589737,-0.36887959981296403,1.8999123831332532,286.8867698531212,0.2868867698531212
Beta-neutral Reversal Buffer 60%,Out-of-sample 2023-2025,2023-01-01,2025-12-31,0.8654355652531451,-0.13456443474685487,-0.047337755949230065,0.13922426053783427,-0.3400108268943975,-0.20639446351145763,1.9467592405345056,290.06712683964133,0.2900671268396414
